video_id,split,label,category,manual_transcript,asr_transcript,wer,cer
VID_00011,train,MISOGYNISTIC,SHAMING,ஒரு பெண்ணின் உடையை வைத்து கற்பு மற்றும் ஒழுக்கம் பற்றி கேள்வி எழுப்புவது தொடர்ச்சியாக கண்டனத்திற்குரிய பிற்போக்குத்தனம்.,ஒரு பெண்ணின் உடையை வைத்து கற்பு மற்றும் ஒழுக்கம் பற்றி கேள்வி எழுப்புவது தொடர்ச்சியாக கண்டனத்திற்குரிய பிற்போக்குத்தனம்.,0.0,0.0
VID_00012,train,NON-MISOGYNISTIC,NONE,சிறுமி மாலையில் தனது நண்பர்களுடன் மிகவும் சிறப்பாக தொடர்ச்சியாக பூச்செடிகளை நட்டு தண்ணீர் ஊற்றினார்.,சிறுமி மாலையில் தனது நண்பர்களுடன் மிகவும் சிறப்பாக தொடர்ச்சியாக பூச்செடிகளை நட்டு தண்ணீர் ஊற்றினார்.,0.0,0.0
VID_00013,train,NON-MISOGYNISTIC,NONE,அனைத்து துறைகளிலும் பெண்களுக்கு அனைவரும் பாராட்டும் வகையில் பாதுகாப்பது ஒரு ஜனநாயக நாட்டின் கடமை.,அனைத்து துறைகளிலும் பெண்களுக்கு அனைவரும் பாராட்டும் வகையில் பாதுகாப்பது ஒரு ஜனநாயக நாட்டின் கடமை.,0.0,0.0
VID_00014,train,NON-MISOGYNISTIC,NONE,கல்வி மற்றும் வேலைவாய்ப்பில் பெண்களுக்கு முழு அர்ப்பணிப்புடன் முற்றிலும் மறுக்க முடியாத அடிப்படை உரிமையாகும்.,கல்வி மற்றும் வேலைவாய்ப்பில் பெண்களுக்கு முழு அர்ப்பணிப்புடன் முற்றிலும் மறுக்க முடியாத உரிமையாகும்.,9.09,8.26
VID_00015,train,MISOGYNISTIC,VIOLENCE,பெண்களை மிரட்டி பணியவைக்க மிரட்டல் விடுத்து அச்சத்தில் ஆழ்த்துவது முற்றிலும் சட்டப்படி கடுமையான தண்டனைக்குரிய பெருங்குற்றம்.,பெண்களை மிரட்டி பணியவைக்க மிரட்டல் விடுத்து அச்சத்தில் ஆழ்த்துவது முற்றிலும் சட்டப்படி கடுமையான தண்டனைக்குரிய பெருங்குற்றம்.,0.0,0.0
VID_00016,train,NON-MISOGYNISTIC,NONE,கல்லூரி மாணவிகள் தேசிய அளவிலான போட்டியில் முழு அர்ப்பணிப்புடன் நேர்மையாகவும் துணிச்சலுடனும் நிர்வகிக்கிறார்.,கல்லூரி மாணவிகள் தேசிய அளவிலான போட்டியில் முழு அர்ப்பணிப்புடன் நேர்மையாகவும் துணிச்சலுடனும் நிர்வகிக்கிரார்.,10.0,0.93
VID_00017,val,MISOGYNISTIC,OBJECTIFICATION,ஒரு பெண்ணின் தகுதி ஒரு அழகு பொருளாக மட்டுமே சித்தரிப்பது வெளிப்படையாக பெண்களின் சுயமரியாதையை சீரழிக்கும் பிற்போக்குத்தனம்.,ஒரு பெண்ணின் தகுதி ஒரு அழகு பொருளாக மட்டுமே சித்தரிப்பது வெளிப்படையாக பெண்களின் சுயமரியாதையை சீரழிக்கும் பிற்போக்குத்தனம்.,0.0,0.0
VID_00018,train,NON-MISOGYNISTIC,NONE,கிராமப்புற மக்களுக்கு இலவச மருத்துவ பரிசோதனை உண்மையான ஈடுபாட்டுடன் தொடர்ச்சியாக நோயாளிகளின் நலனுக்காக நிறுவப்பட்டு பயன்பாட்டில் உள்ளன.,கிராமப்புற மக்களுக்கு இலவச மருத்துவ பரிசோதனை உண்மையான ஈடுபாட்டுடன் தொடர்ச்சியாக நோயாளிகளின் நிறுவப்பட்டு பயன்பாட்டில் உள்ளன.,7.69,7.46
VID_00019,train,NON-MISOGYNISTIC,NONE,என் தாய் இன்று காலை குடும்பத்தினருக்கு மிகவும் சிறப்பாக வெளிப்படையாக பூச்செடிகளை நட்டு தண்ணீர் ஊற்றினார்.,என் தாய் இன்று காலை குடும்பத்தினருக்கு மிகவும் சிறப்பாக வெளிப்படையாக பூச்செடிகளை நட்டு தண்ணீர் ஊற்றினார்.,0.0,0.0
VID_00020,train,NON-MISOGYNISTIC,NONE,பொது போக்குவரத்து சேவைகள் மக்களின் வசதிக்காக விடாமுயற்சியுடன் வெளிப்படையாக தொடர்ந்து தடையின்றி இயங்கி வருகின்றன.,பொது போக்குவரத்து சேவைகள் மக்களின் வசதிக்காக விடாமுயற்சியுடன் வெளிப்படையாக தொடர்ந்து தடையின்றி இயங்கி வருகின்றன.,0.0,0.0
VID_00021,train,NON-MISOGYNISTIC,NONE,விவசாயிகள் இயற்கை உரங்களை பயன்படுத்தி தங்கள் உண்மையான ஈடுபாட்டுடன் பயிற்சிகள் இலவசமாக பயிற்றுவிக்கப்பட்டு வருகின்றன.,விவசாயிகள் இயற்கை உரங்களை பயன்படுத்தி தங்கள் உண்மையான ஈடுபாட்டுடன் பயிற்சிகள் இலவசமாக பயிற்றுவிக்கப்பட்டு வருகின்றன.,0.0,0.0
VID_00022,train,MISOGYNISTIC,SHAMING,ஒரு பெண்ணின் உடையை வைத்து தவறான கண்ணோட்டத்தில் விமர்சனம் செய்வது வெளிப்படையாக மனித மாண்பை குலைக்கும் கொடூர செயல்.,ஒரு பெண்ணின் உடையை வைத்து தவறான கண்ணோட்டத்தில் விமர்சனம் செய்வது வெளிப்படையாக மனித மாண்பை குலைக்கும் கொடூர செயல்.,0.0,0.0
VID_00023,train,MISOGYNISTIC,GENERAL_ABUSE,பெண்கள் ஆண்களை விட கிடையாது என்று இழிவாக பேசுவது முற்றிலும் சமூக முன்னேற்றத்தை தடுக்கும் தவறான வாதம்.,பெண்கள் ஆண்களை விட கிடையாது என்று இழிவாக பேசுவது முற்றிலும் சமூக முன்னேற்றத்தை தடுக்கும் தவறான வாதம்.,0.0,0.0
VID_00024,val,NON-MISOGYNISTIC,NONE,குடிநீர் சேமிப்பு மற்றும் மழைநீர் சேகரிப்பு ஆயிரக்கணக்கான மரக்கன்றுகளை நட்டு வளர்த்து வருகின்றனர்.,குடிநீர் சேமிப்பு மற்றும் மழைநீர் சேகரிப்பு ஆயிரக்கணக்கான மரக்கன்றுகளை நட்டு வளர்த்து வருகின்றனர்.,0.0,0.0
VID_00025,test,MISOGYNISTIC,GENERAL_ABUSE,பெண்கள் ஆண்களை விட குறைவானவர்கள் என்று ஏளனம் செய்வது வெளிப்படையாக ஆதாரமற்ற இழிவான பிரச்சாரமாகும்.,பெண்கள் ஆண்களை விட குறைவானவர்கள் என்று ஏளனம் செய்வது வெளிப்படையாக ஆதாரமற்ற இழிவான பிரச்சாரமாகும்.,0.0,0.0
VID_00026,test,NON-MISOGYNISTIC,NONE,குடிநீர் சேமிப்பு மற்றும் மழைநீர் சேகரிப்பு அனைவரும் பாராட்டும் வகையில் வெளிப்படையாக ஆயிரக்கணக்கான மரக்கன்றுகளை நட்டு வளர்த்து வருகின்றனர்.,குடிநீர் சேமிப்பு மற்றும் மழைநீர் சேகரிப்பு அனைவரும் பாராட்டும் வகையில் வெளிப்படையாக ஆயிரக்கணக்கான மரக்கன்றுகளை நட்டு வளர்த்து வருகின்றனர்.,0.0,0.0
VID_00027,train,MISOGYNISTIC,STEREOTYPING,பெண்கள் எப்போதும் வீட்டை மட்டும் கவனிக்க வேண்டும் என்று அடக்குவது நவீன சமூகத்திற்கு முற்றிலும் ஏற்க முடியாதது.,பெண்கள் எப்போதும் வீட்டை மட்டும் கவனிக்க வேண்டும் என்று அடக்குவது நவீன சமூகத்திற்கு முற்றிலும் ஏற்க முடியாதது.,0.0,0.0
VID_00028,train,NON-MISOGYNISTIC,NONE,நகரத்தின் மையப்பகுதியில் புதிய நூலகம் தொடர்ந்து வெற்றிகரமாக வெளிப்படையாக நாளை மாலை நேரத்தில் மிதமான மழை பெய்ய வாய்ப்புள்ளது.,நகரத்தின் மையப்பகுதியில் புதிய நூலகம் தொடர்ந்து வெற்றிகரமாக வெளிப்படையாக நாளை மாலை நேரத்தில் மிதமான மழை பெய்ய வாய்ப்புள்ளது.,0.0,0.0
VID_00029,train,NON-MISOGYNISTIC,NONE,அந்த பெண் மருத்துவர் அரசு மருத்துவமனையில் முன்னுதாரணமாக வெளிப்படையாக பலருக்கு வேலைவாய்ப்புகளை உருவாக்கி சாதனை படைத்துள்ளார்.,அந்த பெண் மருத்துவர் அரசு மருத்துவமனையில் முன்னுதாரணமாக வெளிப்படையாக பலருக்கு வேலைவாய்ப்புகளை உருவாக்கி சாதனை படைத்துள்ளார்.,0.0,0.0
VID_00030,train,NON-MISOGYNISTIC,NONE,வானிலை ஆய்வு மையம் வெளியிட்ட அறிக்கையின்படி தொடர்ச்சியாக தேசிய அளவில் அபாரமான வெற்றியை பெற்றுள்ளது.,வானிலை ஆய்வு மையம் வெளியிட்ட அரிக்கையின்படி தொடர்ச்சியாக தேசிய அளவில் அபாரமான வெற்றியை பெற்றுள்ளது.,9.09,1.01
VID_00031,train,MISOGYNISTIC,OBJECTIFICATION,ஒரு பெண்ணின் தகுதி ஒரு அழகு பொருளாக மட்டுமே சித்தரிப்பது முற்றிலும் அவர்களின் அறிவையும் உழைப்பையும் அவமதிக்கும் செயல்.,ஒரு பெண்ணின் தகுதி ஒரு அழகு பொருளாக மட்டுமே சித்தரிப்பது முற்றிலும் அவர்களின் அறிவையும் உழைப்பையும் அவமதிக்கும் செயல்.,0.0,0.0
VID_00032,train,MISOGYNISTIC,SHAMING,ஒரு பெண்ணின் உடையை வைத்து தவறான கண்ணோட்டத்தில் விமர்சனம் செய்வது தொடர்ச்சியாக சமூகத்தின் இழிவான மனநிலையை காட்டுகிறது.,ஒரு பெண்ணின் உடையை வைத்து தவறான கண்ணோட்டத்தில் விமர்சனம் செய்வது தொடர்ச்சியாக சமூகத்தின் இழிவான மனநிலையை காட்டுகிறது.,0.0,0.0
VID_00033,test,MISOGYNISTIC,GENERAL_ABUSE,பெண்கள் ஆண்களை விட குறைவானவர்கள் என்று ஏளனம் செய்வது தொடர்ச்சியாக மனித சமத்துவத்தை மறுக்கும் அறியாமை.,பெண்கள் ஆண்களை விட குறைவானவர்கள் என்று ஏளனம் செய்வது தொடர்ச்சியாக மனித சமத்துவத்தை மறுக்கும் அறியாமை.,0.0,0.0
VID_00034,test,MISOGYNISTIC,GENERAL_ABUSE,பெண்களுக்கு சிந்தனை திறன் முடியாது என்று கேவலப்படுத்துவது தொடர்ச்சியாக சமூக முன்னேற்றத்தை தடுக்கும் தவறான வாதம்.,பெண்களுக்கு சிந்தனை முடியாது என்று கேவலப்படுத்துவது தொடர்ச்சியாக சமூக முன்னேற்றத்தை தடுக்கும் தவறான வாதம்.,8.33,5.36
VID_00035,train,NON-MISOGYNISTIC,NONE,தமிழ்நாடு மகளிர் கிரிக்கெட் அணி விடாமுயற்சியுடன் வெளிப்படையாக பொதுமக்களின் பயன்பாட்டிற்காக திறந்து வைக்கப்பட்டது.,தமிழ்நாடு மகளிர் கிரிக்கெட் அணி விடாமுயர்சியுடன் வெளிப்படையாக பொதுமக்களின் பயன்பாட்டிற்காக திறந்து வைக்கப்பட்டது.,10.0,0.88
VID_00036,train,MISOGYNISTIC,VIOLENCE,பெண்களை மிரட்டி பணியவைக்க வன்முறையை கையாள்வது அல்லது தாக்குவது தொடர்ச்சியாக மனித குலத்திற்கே அவமானகரமான இழிசெயல்.,பெண்களை மிரட்டி பணியவைக்க வன்முறையை கையாள்வது அள்லது தாக்குவது தொடர்ச்சியாக மனித குலத்திற்கே அவமானகரமான இழிசெயல்.,8.33,0.88
VID_00037,val,NON-MISOGYNISTIC,NONE,பெண்களும் ஆண்களும் இணைந்து உண்மையான ஈடுபாட்டுடன் வெளிப்படையாக அளிப்பது ஒரு முற்போக்கு சமூகத்தின் அடையாளம்.,பெண்களும் ஆண்களும் இணைந்து உண்மையான ஈடுபாட்டுடன் வெளிப்படையாக அளிப்பது ஒறு முற்போக்கு சமூகத்தின் அடையாளம்.,9.09,0.94
VID_00038,train,MISOGYNISTIC,OBJECTIFICATION,திரைப்படத்தில் பெண்களை ஒரு அழகு பொருளாக மட்டுமே சித்தரிப்பது வெளிப்படையாக நாகரிக சமூகத்திற்கு முற்றிலும் பொருந்தாத இழிவு.,திரைப்படத்தில் பெண்களை ஒரு அழகு பொருளாக மட்டுமே சித்தரிப்பது வெளிப்படையாக நாகரிக சமூகத்திற்கு முற்றிலும் பொருந்தாத இழிவு.,0.0,0.0
VID_00039,train,MISOGYNISTIC,VIOLENCE,பெண்களை மிரட்டி பணியவைக்க வன்முறையை கையாள்வது அல்லது தாக்குவது முற்றிலும் நீதிமன்றத்தால் தண்டிக்கப்பட வேண்டிய குற்றச்செயல்.,பெண்களை மிரட்டி பணியவைக்க வன்முறையை கையாள்வது அல்லது தாக்குவது முற்றிலும் நீதிமன்றத்தால் தண்டிக்கப்பட வேண்டிய குற்றச்செயல்.,0.0,0.0
VID_00040,train,NON-MISOGYNISTIC,NONE,அந்த பெண் மருத்துவர் அரசு மருத்துவமனையில் அனைவரும் பாராட்டும் வகையில் வெளிப்படையாக மருத்துவ துறையில் புதிய கண்டுபிடிப்புகளை நிகழ்த்தியுள்ளார்.,அந்த பெண் மருத்துவர் அரசு மருத்துவமனையில் அனைவரும் பாராட்டும் வகையில் வெளிப்படையாக மருத்துவ துறையில் புதிய கண்டுபிடிப்புகளை நிகழ்த்தியுள்ளார்.,0.0,0.0
VID_00041,test,NON-MISOGYNISTIC,NONE,பெண்களுக்கு அரசியலமைப்பு வழங்கியுள்ள முன்னுதாரணமாக முற்றிலும் மறுக்க முடியாத அடிப்படை உரிமையாகும்.,பெண்களுக்கு அரசியலமைப்பு முன்னுதாரணமாக முற்றிலும் மறுக்க முடியாத அடிப்படை உரிமையாகும்.,11.11,12.24
VID_00042,test,MISOGYNISTIC,OBJECTIFICATION,திரைப்படத்தில் பெண்களை வெளித்தோற்றத்தை மட்டுமே வைத்து எடைபோடுவது வெளிப்படையாக பாலின சமத்துவத்திற்கு எதிரான ஒரு தவறான போக்கு.,திரைப்படத்திள் பெண்களை வெளித்தோற்றத்தை மட்டுமே வைத்து எடைபோடுவது வெளிப்படையாக பாலின சமத்துவத்திற்கு எதிரான ஒரு தவறான போக்கு.,7.69,0.81
VID_00043,train,NON-MISOGYNISTIC,NONE,நகரத்தின் மையப்பகுதியில் புதிய நூலகம் விடாமுயற்சியுடன் நடைப்பயிற்சி மேற்கொண்டு உடற்பயிற்சி செய்கின்றனர்.,நகரத்தின் மையப்பகுதியில் புதிய நூலகம் விடாமுயற்சியுடன் நடைப்பயிற்சி மேற்கொண்டு உடற்பயிற்சி செய்கின்றனர்.,0.0,0.0
VID_00044,train,MISOGYNISTIC,STEREOTYPING,திருமணமான பெண்கள் அடுப்பூதும் வேலைக்கு மட்டுமே முன்னுரிமை அளிக்க வேண்டும் தொடர்ச்சியாக என்று கட்டளையிடுவது பாலின சமத்துவத்தை குலைக்கும் செயல்.,திருமணமான பெண்கள் அடுப்பூதும் வேலைக்கு மட்டுமே முன்னுரிமை அளிக்க வேண்டும் தொடர்ச்சியாக என்று கட்டளையிடுவது பாலின சமத்துவத்தை குலைக்கும் செயல்.,0.0,0.0
VID_00045,train,NON-MISOGYNISTIC,NONE,விவசாயிகள் இயற்கை உரங்களை பயன்படுத்தி தங்கள் முழு அர்ப்பணிப்புடன் வெளிப்படையாக ஆயிரக்கணக்கான மரக்கன்றுகளை நட்டு வளர்த்து வருகின்றனர்.,விவசாயிகள் இயற்கை உரங்களை பயன்படுத்தி தங்கள் அர்ப்பணிப்புடன் வெளிப்படையாக ஆயிரக்கணக்கான மரக்கன்றுகளை நட்டு வளர்த்து வருகின்றனர்.,7.69,3.76
VID_00046,val,MISOGYNISTIC,OBJECTIFICATION,பெண்களின் மதிப்பு ஆடை மற்றும் தோற்றத்தை மட்டுமே அளவுகோலாக வைப்பது பாலின சமத்துவத்திற்கு எதிரான ஒரு தவறான போக்கு.,பெண்கலின் மதிப்பு ஆடை மற்றும் தோற்றத்தை மட்டுமே அளவுகோலாக வைப்பது பாலின சமத்துவத்திற்கு எதிரான ஒரு தவறான போக்கு.,7.14,0.89
VID_00047,val,MISOGYNISTIC,GENERAL_ABUSE,முக்கியமான பிரச்சனைகளை தீர்க்க பெண்களுக்கு குறைவானவர்கள் என்று ஏளனம் செய்வது முற்றிலும் நாகரிக மனிதர்கள் ஏற்காத மட்டமான சிந்தனை.,முக்கியமான பிரச்சனைகளை தீர்க்க பெண்களுக்கு குறைவானவர்கள் என்று ஏளனம் செய்வது முற்றிலும் நாகரிக மனிதர்கள் ஏற்காத மட்டமான சிந்தனை.,0.0,0.0
VID_00048,val,MISOGYNISTIC,VIOLENCE,பெண்களுக்கு எதிராக கொடுமையான சித்திரவதைகளுக்கு ஆளாக்குவது முற்றிலும் சமூகத்தில் உடனடியாக வேரறுக்கப்பட வேண்டிய வன்முறை.,பெண்களுக்கு எதிறாக கொடுமையான சித்திரவதைகளுக்கு ஆளாக்குவது முற்றிலும் சமூகத்தில் உடனடியாக வேரறுக்கப்பட வேண்டிய வன்முறை.,9.09,0.85
VID_00049,train,MISOGYNISTIC,STEREOTYPING,பெண்கள் எப்போதும் ஆண்கள் எடுக்கும் முடிவுகளுக்கு மட்டுமே கீழ்ப்படிய வேண்டும் வெளிப்படையாக என திணிப்பது பெண்களின் சுயவளர்ச்சியை அழிக்கும்.,பெண்கள் எப்போதும் ஆண்கள் எடுக்கும் முடிவுகளுக்கு மட்டுமே கீழ்ப்படிய வேண்டும் வெளிப்படையாக என திணிப்பது பெண்களின் சுயவளர்ச்சியை அழிக்கும்.,0.0,0.0
VID_00050,train,MISOGYNISTIC,SHAMING,நவீன ஆடைகளை அணியும் பெண்களை அவளது சுதந்திரத்தை தடுத்து அவப்பெயர் உண்டாக்குவது தொடர்ச்சியாக கண்டனத்திற்குரிய பிற்போக்குத்தனம்.,நவீண ஆடைகளை அணியும் பெண்களை அவளது சுதந்திரத்தை தடுத்து அவப்பெயர் உண்டாக்குவது தொடர்ச்சியாக கண்டனத்திற்குரிய பிற்போக்குத்தனம்.,8.33,0.8
VID_00051,train,MISOGYNISTIC,VIOLENCE,தன் பேச்சை கேட்காத பெண்களை தாக்கி கொடுமைப்படுத்துவதை நியாயப்படுத்துவது வெளிப்படையாக சமூகத்தில் உடனடியாக வேரறுக்கப்பட வேண்டிய வன்முறை.,தன் பேச்சை கேட்காத பெண்களை தாக்கி கொடுமைப்படுத்துவதை நியாயப்படுத்துவது வெளிப்படையாக சமூகத்தில் உடனடியாக வேரறுக்கப்பட வேண்டிய வன்முறை.,0.0,0.0
VID_00052,train,NON-MISOGYNISTIC,NONE,விளையாட்டு மைதானத்தில் வீரர்கள் மற்றும் வீராங்கனைகள் தொடர்ந்து வெற்றிகரமாக பொதுமக்களின் பயன்பாட்டிற்காக திறந்து வைக்கப்பட்டது.,விளையாட்டு மைதானத்தில் வீரர்கள் மற்றும் வீராங்கனைகள் தொடர்ந்து வெற்றிகரமாக பொதுமக்களின் பயன்பாட்டிற்காக திறந்து வைக்கப்பட்டது.,0.0,0.0
VID_00053,train,MISOGYNISTIC,GENERAL_ABUSE,பெண்களுக்கு சிந்தனை திறன் தகுதியற்றது என்று நிராகரிப்பது தொடர்ச்சியாக சமூக முன்னேற்றத்தை தடுக்கும் தவறான வாதம்.,பெண்களுக்கு சிந்தனை திரன் தகுதியற்றது என்று நிராகரிப்பது தொடர்ச்சியாக சமூக முன்னேற்றத்தை தடுக்கும் தவறான வாதம்.,8.33,0.9
VID_00054,train,NON-MISOGYNISTIC,NONE,வானிலை ஆய்வு மையம் வெளியிட்ட அறிக்கையின்படி தொடர்ச்சியாக நடைப்பயிற்சி மேற்கொண்டு உடற்பயிற்சி செய்கின்றனர்.,வானிலை ஆய்வு மையம் வெளியிட்ட அறிக்கையின்படி தொடர்ச்சியாக நடைப்பயிற்சி மேற்கொண்டு உடற்பயிற்சி செய்கின்றனர்.,0.0,0.0
VID_00055,val,MISOGYNISTIC,VIOLENCE,பெண்களுக்கு எதிராக தாக்குதல் நடத்துவதை பெருமையாக பேசுவது வெளிப்படையாக பாதிக்கப்பட்ட பெண்களுக்கு இழைக்கப்படும் பெரும் அநீதி.,பெண்களுக்கு எதிராக தாக்குதல் நடத்துவதை பெருமையாக பேசுவது வெளிப்படையாக பாதிக்கப்பட்ட பெண்களுக்கு இழைக்கப்படும் பெரும் அநீதி.,0.0,0.0
VID_00056,test,NON-MISOGYNISTIC,NONE,அம்மா வீட்டின் தோட்டத்தில் அழகிய அனைவரும் பாராட்டும் வகையில் முற்றிலும் புத்தகங்களை வாசித்து குறிப்புகளை எடுத்தனர்.,அம்மா வீட்டின் தோட்டத்தில் அழகிய அனைவரும் பாராட்டும் வகையில் முற்றிலும் புத்தகங்களை வாசித்து குறிப்புகளை எடுத்தனர்.,0.0,0.0
VID_00057,val,MISOGYNISTIC,VIOLENCE,பெண்களுக்கு எதிராக தாக்கி கொடுமைப்படுத்துவதை நியாயப்படுத்துவது முற்றிலும் அனைத்து தரப்பினராலும் எதிர்க்கப்பட வேண்டிய வன்முறை.,பெண்கலுக்கு எதிராக தாக்கி கொடுமைப்படுத்துவதை நியாயப்படுத்துவது முற்றிலும் அனைத்து தரப்பினராலும் எதிர்க்கப்பட வேண்டிய வன்முறை.,9.09,0.8
VID_00058,train,NON-MISOGYNISTIC,NONE,கணினி அறிவியல் துறையில் புதிய செயற்கை நுண்ணறிவு முழு அர்ப்பணிப்புடன் விவசாய நிலங்களில் பயிர்களை உற்பத்தி செய்கின்றனர்.,கணினி அறிவியல் துறையில் புதிய செயற்கை நுண்ணறிவு முழு அர்ப்பணிப்புடன் விவசாய நிலங்களில் பயிர்களை உற்பத்தி செய்கின்றனர்.,0.0,0.0
VID_00059,val,MISOGYNISTIC,SHAMING,பெண்கள் அணியும் ஆடைகளை குறைகூறி குற்ற உணர்வை உண்டாக்கும் வகையில் வசைபாடுவது வெளிப்படையாக சமூகத்தின் இழிவான மனநிலையை காட்டுகிறது.,பென்கள் அணியும் ஆடைகளை குறைகூறி குற்ற உணர்வை உண்டாக்கும் வகையில் வசைபாடுவது வெளிப்படையாக சமூகத்தின் இழிவான மனநிலையை காட்டுகிறது.,7.14,0.78
VID_00060,train,MISOGYNISTIC,SHAMING,ஒரு பெண்ணின் உடையை வைத்து அவளது நடத்தையை தவறாக பேசுவது தொடர்ச்சியாக சட்டப்படி தண்டிக்கப்பட வேண்டிய வன்முறை.,ஒரு பெண்ணின் உடையை வைத்து அவலது நடத்தையை தவறாக பேசுவது தொடர்ச்சியாக சட்டப்படி தண்டிக்கப்பட வேண்டிய வன்முறை.,7.69,0.93
